UNLOCODE	Countrycode	Town	Long	Lat	top500_id	meril_id	Source
GB STK	GB	Stockport	-2.1500	53.4000		15083	unlocode
GB SW8	GB	Swindon	-1.7833	51.5167	50732		unlocode
GB ZBW	GB	Leeds	0.6167	51.2333		15873	unlocode
	GR	Crete	24.3778	35.1956		15517	osm
	GR	Gourmes	25.2707	35.3276		14597	googlemaps
	GR	Mount Helmos	22.1968	37.9855		14764	googlemaps
	GR	Penteli	23.8615	38.0506		14507	osm
	GR	Rion	21.7826	38.3019		14583	osm
	GR	Vari-Athens	23.7922	37.8229		15020	googlemaps
GR APK	GR	Agia Paraskevi	23.8167	38.0000		14642	unlocode
HR SPU	HR	Split	16.4500	43.5000		15016	unlocode
HR ZAG	HR	Zagreb	16.0000	45.8000		15076;15065;15067;15099	unlocode
	HU	Debrecen	21.6260	47.5314		15166;15180;15155;15132;15188;15931	osm
	HU	Sopron	16.5983	47.6803		15158	osm
HU BUD	HU	Budapest	19.0833	47.5000		15139;15533;15162;15167;14444;15156;15930;15164	unlocode
HU PEC	HU	Pécs	18.2333	46.0833		15183	unlocode
	IE	Co. Galway	-8.8734	53.3435		14563	osm
	IE	Co. Kildare	-6.9117	53.1568		15467	osm
	IE	Cork	-8.4706	51.8979		14606;15116;14879	osm
	IE	Dublin	-6.2603	53.3498		14864;15510;14880;15199;15593;14457;15669;15524;15073;15579	osm
	IE	Galway	-9.0491	53.2744		15628;15198	osm
	IE	Leinster	-6.9292	52.9690		15371	osm
	IE	Limerick	-8.6301	52.6613		15375	osm
IE 	IE				50502;50749		top500
	IT	Assergi L'Aquila	13.5172	42.4192		15624	googlemaps
	IT	Basovizza	13.8632	45.6417		15623;15093	osm
	IT	Casalecchio di Reno	11.2757	44.4760		15639	osm
	IT	Florence	11.2556	43.7699		15040;15548	osm
	IT	Frascati	12.6804	41.8082		15526	osm
	IT	Frascati (Roma)	12.6724	41.8169		15452	googlemaps
	IT	Milan	9.1905	45.4668		15488	osm
	IT	Perugia	12.3890	43.1120		15832	osm
	IT	Rome	12.4829	41.8933		15252;15204;15608;15445	osm
	IT	Tito Scalo	15.7115	40.6013		15804	googlemaps
	IT	Trieste	13.7707	45.6500		14978;15839	osm
	IT	Villafontana di Medicina (Bologna)	11.6441	44.5239		15601	googlemaps
IT BGO	IT	Bergamo	9.7167	45.6833		15170	unlocode
IT BLQ	IT	Bologna	11.3500	44.5000	47495	14977	unlocode
IT CTA	IT	Catania	15.1000	37.5000		15484	unlocode
IT MTD	IT	Monterotondo	10.8500	43.1500		15477	unlocode
IT NTO	IT	Noto	15.0667	36.8833		15840	unlocode
IT RTD	IT	Monterotondo Scalo	12.6167	42.0500		15858	unlocode
IT SCA	IT	Scandiano	10.6909	44.5989	50720		googlemaps
IT ZTD	IT	Selargius	9.1667	39.2500		15841	unlocode
IT ZXF	IT	Ferrera Erbognone	8.8861	45.0999	50489;49438		unlocode
	LT	Kaunas	23.9045	54.8982		15292;15905	osm
	LT	Vilnius	25.2829	54.6870		15211;15174;15578;15012	osm
	LU	Luxembourg	6.1298	49.6113		15748	osm
	LU	Walferdange	6.1306	49.6585		14742	osm
LU EZT	LU	Esch-sur-Alzette	5.9833	49.5000		15780;15784	unlocode
LU STN	LU	Strassen	6.0500	49.6167		15766	unlocode
	NL	Delft	4.3627	51.9995		14973;15492	osm
	NL	Den Haag	4.2697	52.0749		15036	osm
	NL	Den Oever	5.0207	52.9653		15426	osm
	NL	Enschede	6.8706	52.2234		15178	osm
	NL	Groningen	6.5582	53.2218		15090;15424	osm
	NL	Leiden	4.4811	52.1518		15519;15282	osm
	NL	Nijmegen	5.8385	51.8426		15362;15390;15409;15423	osm
	NL	Rijswijk	4.3225	52.0374		15585	osm
	NL	Soesterberg	5.3003	52.1230		15444	osm
	NL	Tilburg	5.0439	51.5737		15427;15536;15429	osm
	NL	Wageningen	5.6683	51.9686		15513	osm
NL 	NL				50503		top500
NL AMS	NL	Amsterdam	4.9000	52.3667	50498	15414;15837;14963;15752;15431	googlemaps
NL DWI	NL	Dwingeloo	6.3667	52.8333		15496	unlocode
